Population,Region,Continent
Eritrea ,Africa,Eastern Africa
Estonia ,Europe,Northern Europe
Fiji ,Oceania,Melanesia
Finland ,Europe,Northern Europe
France (metropolitan) ,Europe,Western Europe
French Guyana ,Latin America and the Caribbean,South America
French Polynesia ,Oceania,Polynesia
Djibouti ,Africa,Eastern Africa
Gabon ,Africa,Middle Africa
Georgia ,Asia,Western Asia
The Republic of the Gambia ,Africa,Western Africa
Gaza Strip and West Bank ,Asia,Western Asia
Germany ,Europe,Western Europe
Ghana ,Africa,Western Africa
Greece ,Europe,Southern Europe
"France, Guadeloupe ",Latin America and the Caribbean,Caribbean
Guam ,Oceania,Micronesia
Guatemala ,Latin America and the Caribbean,Central America
Guinea ,Africa,Western Africa
Guyana ,Latin America and the Caribbean,South America
Haiti ,Latin America and the Caribbean,Caribbean
Honduras ,Latin America and the Caribbean,Central America
Hungary ,Europe,Eastern Europe
Iceland ,Europe,Northern Europe
India ,Asia,South Central Asia
Indonesia ,Asia,South-Eastern Asia
"Iran, Islamic Republic of ",Asia,South Central Asia
Iraq ,Asia,Western Asia
Ireland ,Europe,Northern Europe
Israel ,Asia,Western Asia
Italy ,Europe,Southern Europe
Côte d'Ivoire ,Africa,Western Africa
Jamaica ,Latin America and the Caribbean,Caribbean
Japan ,Asia,Eastern Asia
Kazakhstan ,Asia,South Central Asia
Jordan ,Asia,Western Asia
Kenya ,Africa,Eastern Africa
"Korea, Democratic People Republic of ",Asia,Eastern Asia
"Korea, Republic of ",Asia,Eastern Asia
Kuwait ,Asia,Western Asia
Kyrgyzstan ,Asia,South Central Asia
Lao People's Democratic Republic ,Asia,South-Eastern Asia
Lebanon ,Asia,Western Asia
Lesotho ,Africa,Southern Africa
Latvia ,Europe,Northern Europe
Liberia ,Africa,Western Africa
Libya ,Africa,Northern Africa
Lithuania ,Europe,Northern Europe
Luxembourg ,Europe,Western Europe
Madagascar ,Africa,Eastern Africa
Malawi ,Africa,Eastern Africa
Malaysia ,Asia,South-Eastern Asia
Maldives ,Asia,South Central Asia
Mali ,Africa,Western Africa
Malta ,Europe,Southern Europe
"France, Martinique ",Latin America and the Caribbean,Caribbean
Mauritania ,Africa,Western Africa
Mauritius ,Africa,Eastern Africa
Mexico ,Latin America and the Caribbean,Central America
Mongolia ,Asia,Eastern Asia
Moldova ,Europe,Eastern Europe
Montenegro ,Europe,Southern Europe
Morocco ,Africa,Northern Africa
Mozambique ,Africa,Eastern Africa
Oman ,Asia,Western Asia
Namibia ,Africa,Southern Africa
Nepal ,Asia,South Central Asia
The Netherlands ,Europe,Western Europe
New Caledonia ,Oceania,Melanesia
Vanuatu ,Oceania,Melanesia
New Zealand ,Oceania,Australia/New Zealand
Nicaragua ,Latin America and the Caribbean,Central America
Niger ,Africa,Western Africa
Nigeria ,Africa,Western Africa
Norway ,Europe,Northern Europe
Pakistan ,Asia,South Central Asia
Panama ,Latin America and the Caribbean,Central America
Papua New Guinea ,Oceania,Melanesia
Paraguay ,Latin America and the Caribbean,South America
Peru ,Latin America and the Caribbean,South America
Philippines ,Asia,South-Eastern Asia
Poland ,Europe,Eastern Europe
Portugal ,Europe,Southern Europe
Guinea-Bissau ,Africa,Western Africa
Timor-Leste ,Asia,South-Eastern Asia
Puerto Rico ,Latin America and the Caribbean,Caribbean
Qatar ,Asia,Western Asia
"France, La Réunion ",Africa,Eastern Africa
Romania ,Europe,Eastern Europe
Russian Federation ,Europe,Eastern Europe
Rwanda ,Africa,Eastern Africa
Saint Lucia ,Latin America and the Caribbean,Caribbean
Sao Tome and Principe ,Africa,Western Africa
Saudi Arabia ,Asia,Western Asia
Senegal ,Africa,Western Africa
Serbia ,Europe,Southern Europe
Sierra Leone ,Africa,Western Africa
Singapore ,Asia,South-Eastern Asia
Slovakia ,Europe,Eastern Europe
Viet Nam ,Asia,South-Eastern Asia
Slovenia ,Europe,Southern Europe
Somalia ,Africa,Eastern Africa
South Africa ,Africa,Southern Africa
Zimbabwe ,Africa,Eastern Africa
Spain ,Europe,Southern Europe
South Sudan ,Africa,Eastern Africa
Sudan ,Africa,Northern Africa
Suriname ,Latin America and the Caribbean,South America
Eswatini ,Africa,Southern Africa
Sweden ,Europe,Northern Europe
Switzerland ,Europe,Western Europe
Syrian Arab Republic ,Asia,Western Asia
Tajikistan ,Asia,South Central Asia
Thailand ,Asia,South-Eastern Asia
Togo ,Africa,Western Africa
Trinidad and Tobago ,Latin America and the Caribbean,Caribbean
United Arab Emirates ,Asia,Western Asia
Tunisia ,Africa,Northern Africa
Türkiye ,Asia,Western Asia
Turkmenistan ,Asia,South Central Asia
Uganda ,Africa,Eastern Africa
Ukraine ,Europe,Eastern Europe
North Macedonia ,Europe,Southern Europe
Egypt ,Africa,Northern Africa
United Kingdom ,Europe,Northern Europe
"Tanzania, United Republic of ",Africa,Eastern Africa
United States of America ,Northern America,Northern America
Burkina Faso ,Africa,Western Africa
Uruguay ,Latin America and the Caribbean,South America
Uzbekistan ,Asia,South Central Asia
Venezuela ,Latin America and the Caribbean,South America
Samoa ,Oceania,Polynesia
Yemen ,Asia,Western Asia
Zambia ,Africa,Eastern Africa
