mark,morp,morp_descn,convert_morp
0,M8070/3,鳞状（细胞）（上皮）癌，常见类型；表皮样癌NOS,
0,M8070/6,鳞状细胞癌，转移性NOS,
2,M8071/2,"分化型上皮内瘤变
分化型阴茎上皮内瘤变(PeIN) C60.- D07.4
分化型外阴上皮内瘤变(VIN) C51.- D07.1",
0,M8071/3,"鳞状细胞癌/表皮样癌，角（质）化的NOS
鳞状细胞癌，大细胞，角（质）化的；角化棘皮瘤",
2,M8072/0,大细胞棘皮瘤,
0,M8072/3,鳞状细胞癌/表皮样癌，大细胞，非角（质）化的NOS,
0,M8073/3,鳞状细胞癌/表皮样癌，小细胞，非角（质）化的,
0,M8074/3,"鳞状细胞癌/表皮样癌，梭形细胞
鳞状细胞癌，肉瘤样；假性血管鳞状细胞癌",
0,M8075/3,鳞状细胞癌，（假）腺样/皮肤棘层松解性,
0,M8076/2,鳞状细胞原位癌/表皮（表面）样原位癌，伴有可疑间质（基质）侵袭（浸润）,
0,M8076/3,鳞状细胞癌，微小侵袭性（微灶浸润）,
2,M8077/0,"鳞状上皮内瘤变/肿瘤，低级别/I级/II级
肛门上皮内瘤变，低级别C21.1
宫颈上皮内瘤变，低级别C53.-
食管鳞状上皮内瘤变（不典型增生），低级别C15.-",
0,M8077/2,"鳞状上皮内瘤变（不典型增生），高级别/III级：
宫颈上皮内瘤变，III级(CIN III) C53.- D06.-
阴道上皮内瘤变，III级(VAIN III) C52.- D07.2
外阴上皮内瘤变，III级(VIN III) C51.- D07.1
肛门上皮内瘤变，III级(AIN III) C21.1 D01.3
食管鳞状上皮内瘤变（不典型增生），高级别C15.- D00.1",
0,M8078/3,鳞状细胞癌，伴有角质形成,
0,M8080/2,凯拉(Queyrat)增殖性红斑C60.- D07.4,
0,M8081/2,"鲍恩（鲍温/Bowen）病C44.- D04.-
表皮内鳞状细胞癌，鲍恩（鲍温/Bowen）型C44.- D04.-",
0,M8082/3,淋巴上皮癌/瘤/瘤样癌；施明克（许明基/Schmincke）瘤C11.-,
0,M8083/3,基底细胞样鳞状细胞癌；乳头状-基底细胞癌,
2,M8084/0,透明细胞棘皮瘤,
0,M8084/3,鳞状细胞癌，透明细胞型,
2,M8085/3,鳞状细胞癌，HPV（人乳头状瘤病毒）阳性,
2,M8086/3,鳞状细胞癌，HPV阴性,
0,M8090/1,基底细胞瘤C44.-,
0,M8090/3,"（色素性）基底细胞癌C44.-（除外前列腺基底细胞癌）
基底细胞上皮瘤C44.-；侵蚀性溃疡C44.-
基底细胞癌，伴有附属器分化C44.-",
0,M8091/3,（多病灶）浅表性/多中心性基底细胞癌C44.-,
0,M8092/3,"浸润性基底细胞癌，（非）硬化性NOS C44.-
基底细胞癌，硬斑性/促结缔组织增生型/肉瘤样C44.-",
0,M8093/3,"基底细胞癌，纤维上皮性C44.-；纤维上皮瘤NOS
平库斯(Pinkus)型纤维上皮（基底）细胞瘤；平库斯瘤",
0,M8094/3,（混合性）基底（细胞）鳞状细胞癌C44.-,
0,M8095/3,异型癌C44.-,
0,M8096/0,雅达松（雅达逊/Jadassohn）表皮内上皮瘤C44.-,
0,M8097/3,基底细胞癌，（小）结节性C44.-,
0,M8098/3,腺样基底癌C53.-,
1,M809-811,基底细胞肿瘤,
0,M8100/0,"毛上皮瘤C44.-；布鲁克(Brooke)瘤C44.-
上皮瘤，腺样囊性C44.-；毛（母）细胞瘤C44.-",
2,M8100/3,毛母细胞癌（肉瘤）C44.-,
0,M8101/0,毛囊瘤C44.-,
0,M8102/0,毛根鞘瘤C44.-,
0,M8102/3,毛膜癌C44.-；毛鞘癌C44.-,
0,M8103/0,毛发瘤C44.-；增殖性毛鞘囊肿/瘤-->8103/1,
2,M8103/1,增殖性毛鞘囊肿/瘤,
2,M8104/0,毛鞘棘皮瘤C44.-；滤泡状漏斗状肿瘤C44.-,
0,M8110/0,"毛母质瘤NOS C44.-；黑色素细胞母细胞瘤C44.-
马勒布（麻赫倍/Malherbe）钙化上皮瘤C44.-",
0,M8110/3,毛母质癌C44.-；毛母质瘤，恶性C44.-,
0,M8120/0,移行（细胞）乳头状瘤，良性；尿路上皮/移行细胞乳头状瘤NOS；膀胱乳头状瘤C67.-,
3,M8120/1,尿路上皮/移行细胞乳头状瘤NOS；膀胱乳头状瘤C67.-,M8120/0
0,M8120/2,尿路上皮/移行细胞原位癌,
0,M8120/3,尿路上皮/移行（细胞）癌NOS,
0,M8121/0,"施奈德(Schneiderian)乳头状瘤C30.0/C31.-
鼻窦部乳头状瘤，外部生长的/NOS C30.0/C31.-
鼻窦部乳头状瘤，真菌样，蕈状的C30.0/C31.- 
尿路上皮/移行（细胞）乳头状瘤，内翻性，良性",
0,M8121/1,"移行（细胞）乳头状瘤，内翻性[观察]（另见8121/0）
施奈德乳头状瘤，内翻性C30.0/C31.-
柱状细胞乳头状瘤C30.0/C31.-
嗜酸瘤细胞性施奈德乳头状瘤C30.0/C31.-
鼻窦部乳头状瘤，内翻性/嗜酸性粒细胞C30.0/C31.-",
0,M8121/3,施奈德癌C30.0/C31.-；柱状细胞癌C30.0/C31.-,
0,M8122/3,尿路上皮/移行细胞癌，梭形细胞/肉瘤样,
0,M8123/3,基底细胞样癌,
0,M8124/3,泄殖腔源性癌C21.2,
1,M812-813,尿路上皮/移行细胞乳头状瘤和癌,
0,M8130/1,潜在低度恶性乳头状尿路上皮/移行细胞肿瘤C67.-,
0,M8130/2,乳头状尿路上皮/移行细胞癌，非侵袭性C67.- D09.0,
0,M8130/3,乳头状尿路上皮/移行细胞癌C67.-,
0,M8131/3,移行细胞癌，微乳头状C67.-,
0,M8140/0,腺瘤NOS；,
0,M8140/1,非典型腺瘤；支气管腺瘤NOS C34.-,
0,M8140/2,原位腺癌NOS,
0,M8140/3,"（常见类型）腺癌NOS；内淋巴囊肿瘤
Skene，Cowper和Littre腺体的癌症
甲状旁腺癌C75.0；前列腺腺泡腺癌C61.9",
0,M8140/6,腺癌，转移性NOS,
0,M8141/3,硬（腺）癌；癌，伴有多处纤维化,
0,M8142/3,皮革状胃炎C16.-,
0,M8143/3,表面扩散性（蔓延性）腺癌,
2,M8144/0,腺瘤，肠型,
0,M8144/3,（腺）癌，肠型C16.-；肠腺癌,
0,M8145/3,（腺）癌，弥漫型C16.-,
0,M8146/0,单形性腺瘤,
0,M8147/0,基底细胞腺瘤,
0,M8147/3,基底细胞腺癌,
2,M8148/0,"腺状上皮内瘤变，低级别/I级/II级
胆管上皮内瘤变，低级别
食管腺状上皮内瘤变（不典型增生），低级别C15.-",
0,M8148/2,"腺状上皮内瘤变，高级别/III级：
前列腺上皮内瘤变，高级别/III级(PIN III) C61.9 D07.5
扁平（腺状）上皮内瘤变（不典型增生），高级别C24.1 D01.5 
胆管上皮内瘤变，高级别/3级(BilIN-3) C22.1/C23.-/C24.- D01.5
食管（腺状）上皮内瘤变（不典型增生），高级别C15.- D00.1 ",
1,M814-838,腺瘤和腺癌,
0,M8149/0,（小）管状腺瘤,
0,M8150/0,"胰腺内分泌肿瘤，良性C25.-
胰腺（神经内分泌）微腺瘤C25.-；岛母细胞瘤C25.-
岛细胞腺瘤（病）C25.-；岛细胞瘤，良性C25.-",
3,M8150/1,胰腺内分泌肿瘤NOS C25.-；岛细胞瘤NOS C25.-,M8150/3
0,M8150/3,"胰腺内分泌肿瘤NOS C25.-；岛细胞瘤NOS C25.-
胰腺内分泌肿瘤，恶性/无功能型
岛细胞（腺）癌C25.-",
3,M8151/0,胰岛（腺）瘤/β细胞腺瘤NOS C25.-,M8151/3
0,M8151/3,胰岛（腺）瘤/β细胞腺瘤C25.-,
3,M8152/1,高血糖素瘤/α细胞瘤NOS C25.-,M8152/3
0,M8152/3,"（肠）高血糖素瘤/α细胞瘤NOS C25.-
L细胞瘤；胰高血糖素样肽生成性肿瘤C25.-
胰多肽和胰多肽样肽含末端酪氨酸酰胺(PP/PYY)生成性肿瘤",
3,M8153/1,促胃液素（细胞）瘤；胃泌素瘤/G细胞瘤NOS,M8153/3
0,M8153/3,促胃液素（细胞）瘤/胃泌素瘤/G细胞瘤NOS,
0,M8154/3,"混合性神经内分泌和非神经内分泌肿瘤(MiNEN)
混合性岛细胞和外分泌腺癌C25.-
胰岛细胞和外分泌混合腺癌C25.-
混合性胰腺内分泌和外分泌肿瘤，恶性C25.-
混合性（神经）内分泌和外分泌腺癌C25.-
混合性腺泡/导管-（神经）内分泌癌C25.-
混合性腺泡-内分泌-导管癌",
3,M8155/1,血管活性肠多肽(VIP)瘤NOS,M8155/3
0,M8155/3,血管活性肠多肽(VIP)瘤NOS,
3,M8156/1,生长抑制素（细胞）瘤NOS,M8156/3
0,M8156/3,生长抑制素（细胞）瘤NOS,
3,M8157/1,肠高血糖素瘤NOS,M8157/3
3,M8157/3,肠高血糖素瘤，恶性,M8152/3
2,M8158/3,"内分泌肿瘤，功能性NOS
ACTH（促肾上腺皮质激素）生成性肿瘤",
0,M8160/0,胆管（腺）瘤C22.1/C24.0,
0,M8160/3,胆管（腺）癌C22.1/C24.0,
0,M8161/0,胆管囊腺瘤C22.1/C24.0,
0,M8161/3,胆管囊腺癌C22.1/C24.0,
0,M8162/3,克拉茨金（克拉斯金/Klatskin）瘤C22.1/C24.0,
2,M8163/0,"非侵袭性胰胆管乳头状瘤，伴有低级别上皮内瘤变
（不典型增生）；胰胆管肿瘤，非侵袭性",
2,M8163/2,"乳头状瘤，胰胆管型，伴有高级别上皮内瘤变C24.1
非侵袭性胰胆管乳头状瘤，伴有高级别上皮内瘤变（不典型增生）C24.1",
2,M8163/3,胰胆管型癌C24.1；腺癌，胰胆管型C24.1,
0,M8170/0,肝细胞（腺）瘤，良性C22.0,
0,M8170/3,肝细胞癌NOS C22.0 C22.0,
0,M8171/3,肝细胞癌，纤维板状C22.0 C22.0,
0,M8172/3,肝细胞癌，硬癌性C22.0 C22.0；硬化性肝癌C22.0 C22.0,
0,M8173/3,肝细胞癌，梭形细胞变体/肉瘤样C22.0 C22.0,
0,M8174/3,肝细胞癌，透明细胞型C22.0 C22.0,
0,M8175/3,肝细胞癌，多形性C22.0 C22.0,
0,M8180/3,"混合性肝细胞（癌）和胆管癌C22.0 C22.0
肝细胞和胆管细胞复合癌C22.0 C22.0",
0,M8190/0,小梁性腺瘤,
0,M8190/3,小梁性（腺）癌,
0,M8191/0,胚胎性腺瘤,
0,M8200/0,"（外分泌性）皮肤圆柱瘤C44.-；头巾样瘤C44.4
乳房圆柱瘤C50.-",
0,M8200/3,"腺样囊性癌；腺癌，圆柱形[观察]
圆柱瘤NOS（除外皮肤/乳房圆柱瘤8200/0）
支气管腺瘤，圆柱形[观察]C34.-
胸腺癌，伴有腺样囊性癌样特征C37.9",
0,M8201/2,筛状原位癌；导管原位癌，筛状型C50.- D05.1,
0,M8201/3,"筛状癌；导管癌，筛状型C50.-
筛状粉刺型（腺）癌C18.-/C19.9/C20.9
腺癌，筛状粉刺型C18.-/C19.9/C20.9",
0,M8202/0,微小囊性腺瘤C25.-,
0,M8204/0,泌乳腺瘤C50.-,
0,M8210/0,息肉样腺瘤；腺瘤样息肉NOS,
0,M8210/2,管状腺瘤内/（腺瘤样）息肉内的原位（腺）癌NOS,
0,M8210/3,管状腺瘤内/（腺瘤样）息肉内的（腺）癌NOS,
0,M8211/0,管状腺瘤NOS,
0,M8211/3,管状（腺）癌,
0,M8212/0,扁平腺瘤,
0,M8213/0,"（传统）（无蒂）锯齿状腺瘤/息肉C18.-
混合性腺瘤和增生性息肉C18.-",
2,M8213/3,锯齿状腺癌,
0,M8214/3,壁细胞（腺）癌C16.-,
0,M8215/3,肛门腺体/肛管的腺癌C21.1,
0,M8220/0,结肠腺瘤样息肉病C18.-；家族性结肠息肉病C18.-；腺瘤病NOS,
0,M8220/3,结肠腺瘤样息肉病内的腺癌C18.-,
0,M8221/0,多发性腺瘤样息肉,
0,M8221/3,多发性腺瘤样息肉内的腺癌,
0,M8230/2,导管原位/内癌，实性型C50.- D05.7,
0,M8230/3,实性（腺）癌，伴有粘蛋白形成/NOS,
0,M8231/3,单纯癌,
3,M8240/1,潜在恶性未肯定的类癌瘤；类癌瘤，嗜银性NOS；嗜银细胞瘤NOS[观察] ,M8240/3
0,M8240/3,"类癌（瘤）（包括阑尾C18.1）
嗜银细胞瘤NOS[观察] 
典型性类癌；支气管腺瘤，类癌C34.-
神经内分泌肿瘤，1级；神经内分泌癌，低级别/分化好",
0,M8241/3,"肠嗜铬(EC)细胞类癌；血清素产生性类癌
嗜银细胞瘤，恶性[观察]；类癌瘤，嗜银性，恶性",
3,M8242/1,肠嗜铬样细胞类癌NOS,M8242/3
0,M8242/3,肠嗜铬样细胞类癌/瘤,
0,M8243/3,杯状细胞/粘液性类癌；粘液类癌性瘤,
0,M8244/3,"复合性类癌；混合性类癌和腺癌
混合性腺样神经内分泌癌(MANEC)",
0,M8245/1,管状类癌,
0,M8245/3,腺类癌性瘤,
0,M8246/3,神经内分泌癌NOS；低分化神经内分泌肿瘤,
0,M8247/3,"梅克尔（迈克尔/Merkel）细胞癌/瘤C44.-
原发性皮肤神经内分泌癌C44.-",
0,M8248/1,APUD瘤,
0,M8249/3,"非典型类癌性瘤
神经内分泌肿瘤，2级；神经内分泌癌，中度分化",
2,M8250/0,非典型腺瘤性增生,
0,M8250/1,肺腺瘤病C34.-,
2,M8250/2,肺原位腺癌，非粘液性C34.- D02.2,
0,M8250/3,"细支气管-肺泡（腺）癌NOS[观察]C34.-
细支气管（腺）癌[观察]C34.-；肺泡细胞癌[观察]C34.-
胚层腺癌C34.-",
0,M8251/0,肺泡腺瘤C34.-,
0,M8251/3,肺泡（腺）癌[观察]C34.-,
0,M8252/3,"细支气管-肺泡癌，非粘液性C34.-
细支气管-肺泡癌，克拉拉(Clara)/II型肺细胞C34.-",
2,M8253/2,肺原位腺癌，粘液性C34.- D02.2,
0,M8253/3,"细支气管-肺泡癌，粘液性/杯状细胞型[观察]C34.-
肺腺癌，粘液性C34.-",
0,M8254/3,"肺腺癌，粘液和非粘液混合性C34.-
细支气管-肺泡癌，克拉拉/II型肺细胞和杯状细胞型/粘液和非粘液混合性/不确定型[观察]C34.-",
0,M8255/3,腺癌，伴有混合性亚型/合并其他型的癌,
2,M8256/3,微创腺癌，非粘液性C34.-,
2,M8257/3,微创腺癌，粘液性C34.-,
0,M8260/0,乳头状腺瘤NOS；腺状乳头状瘤,
2,M8260/1,侵袭性乳头状瘤,
0,M8260/3,乳头状腺癌NOS；甲状腺的乳头状癌C73.9；乳头状肾细胞癌C64.9,
0,M8261/0,绒毛状（乳头状/腺）瘤NOS,
0,M8261/2,绒毛状腺瘤内的原位腺癌,
0,M8261/3,绒毛状腺瘤内的腺癌,
0,M8262/3,绒毛状腺癌,
0,M8263/0,管状绒毛状腺瘤NOS；乳头状管状腺瘤；绒毛腺性腺瘤,
0,M8263/2,管状绒毛状腺瘤内的原位腺癌,
0,M8263/3,"管状绒毛状腺瘤内的腺癌；乳头状管状腺癌
绒毛腺样癌；子宫内膜样腺癌的绒毛腺样变异",
0,M8264/0,乳头状瘤病，腺状；胆管乳头状瘤病C22.1/C24.0,
2,M8265/3,微乳头状（腺）癌NOS C18.-/C19.9/C20.9/C34.-,
0,M8270/0,嫌色细胞腺瘤C75.1,
0,M8270/3,嫌色细胞（腺）癌C75.1,
0,M8271/0,催（泌）乳素（腺）瘤C75.1,
0,M8272/0,"垂体腺瘤NOS C75.1；异位的垂体腺瘤
促肾上腺皮质激素/促性腺激素/促甲状腺激素腺瘤C75.1
生长激素/多激素腺瘤C75.1；裸细胞腺瘤C75.1",
0,M8272/3,垂体癌NOS C75.1,
2,M8273/3,垂体母细胞瘤C75.1,
0,M8280/0,嗜酸（性）细胞腺瘤C75.1,
0,M8280/3,嗜酸（性）细胞（腺）癌C75.1,
0,M8281/0,混合性嗜酸细胞-嗜碱细胞腺瘤C75.1,
0,M8281/3,混合性嗜酸细胞-嗜碱细胞癌C75.1,
0,M8290/0,"嗜酸（性）细胞（腺）瘤；滤泡性腺瘤，嗜酸细胞C73.9
许特尔(Hurthle)细胞（腺）瘤C73.9
梭形细胞嗜酸细胞瘤C75.1；嗜酸细胞性乳头状囊腺瘤",
0,M8290/3,"嗜酸（性）细胞（腺）癌；滤泡性癌，嗜酸性细胞C73.9
许特尔细胞（腺）癌C73.9",
0,M8300/0,嗜碱/粘液细胞腺瘤C75.1,
0,M8300/3,嗜碱/粘液细胞（腺）癌C75.1,
0,M8310/0,透明细胞腺瘤,
0,M8310/3,透明细胞（腺）癌，中肾样/NOS；透明细胞肾细胞癌,
0,M8311/1,肾上腺样瘤[观察],
2,M8311/3,"遗传性平滑肌瘤病和肾细胞癌(HRCC)相关的肾细胞癌C64.9；MiT家族易位癌C64.9
琥珀酸脱氢酶缺乏的肾细胞癌C64.9",
0,M8312/3,"肾细胞（腺）癌NOS C64.9；肾上腺样癌[观察]C64.9
格拉维茨（格腊维次/Grawitz）瘤[观察]C64.9",
0,M8313/0,透明细胞（囊）腺纤维瘤C56.9,
0,M8313/1,"交界恶性的透明细胞（囊）腺纤维瘤C56.9
透明细胞肿瘤，交界恶性/不典型增生",
0,M8313/3,透明细胞（囊）腺癌（性纤维瘤）C56.9,
0,M8314/3,富脂质癌C50.-,
0,M8315/3,富糖原癌；富糖原的透明细胞癌,
2,M8316/1,低度恶性潜能多房囊性肾肿瘤,
0,M8316/3,"（获得性）囊性（疾病）关联的肾细胞癌C64.9
肾小管肾细胞癌C64.9",
0,M8317/3,"肾细胞癌，嫌色细胞型C64.9；嫌色细胞性肾癌C64.9
混合性嗜酸细胞嫌色细胞瘤",
0,M8318/3,肾细胞癌，肉瘤样/梭形细胞C64.9,
0,M8319/3,集合管癌C64.9；肾癌，集合管型C64.9；贝利尼(Bellini)导管癌C64.9,
0,M8320/3,颗粒细胞（腺）癌,
0,M8321/0,主细胞腺瘤C75.0,
0,M8322/0,水样透明细胞腺瘤C75.0,
0,M8322/3,水样透明细胞（腺）癌C75.0,
0,M8323/0,混合细胞腺瘤,
2,M8323/1,透明细胞乳头状肾细胞癌C64.9,
0,M8323/3,混合细胞腺癌,
0,M8324/0,脂肪腺瘤；腺脂肪瘤,
0,M8325/0,后肾腺瘤C64.9,
0,M8330/0,滤泡状腺瘤C73.9,
0,M8330/1,非典型滤泡状腺瘤C73.9,
0,M8330/3,滤泡状（腺）癌NOS,
0,M8331/3,滤泡状（腺）癌，高分化/分化好C73.9 C73.9,
0,M8332/3,滤泡状（腺）癌，小梁性/中分化C73.9,
0,M8333/0,微滤泡状腺瘤C73.9；胎儿腺瘤NOS C73.9,
0,M8333/3,胎儿腺癌,
0,M8334/0,巨滤泡状/胶样腺瘤C73.9,
0,M8335/1,恶性潜能不确定的滤泡性肿瘤C73.9,
0,M8335/3,滤泡性腺癌，微侵袭性C73.9,
3,M8336/0,透明（样）小梁性腺瘤C73.9,M8336/1
2,M8336/1,透明化小梁肿瘤C73.9,
0,M8337/3,岛回癌C73.9；分化差的甲状腺癌C73.9,
2,M8339/3,滤泡性癌，包裹血管侵袭性C73.9,
0,M8340/3,乳头状（腺）癌，滤泡变异C73.9；乳头状和滤泡状（腺）癌C73.9,
0,M8341/3,乳头状微小癌C73.9,
0,M8342/3,乳头状癌，嗜酸性细胞（变体）C73.9,
0,M8343/3,乳头状癌，包膜性，（甲状腺的）C73.9,
0,M8344/3,乳头状癌，柱状细胞/长细胞C73.9,
0,M8345/3,滤泡旁细胞癌C73.9；C细胞癌C73.9；髓样癌，伴有淀粉样基质C73.9,
0,M8346/3,混合性髓样-滤泡性癌C73.9,
0,M8347/3,混合性髓样-乳头状癌C73.9,
2,M8348/1,恶性潜能不明的高分化肿瘤C73.9,
2,M8349/1,非侵袭性滤泡性甲状腺肿瘤，伴有乳头状核特征(NIFTP) C73.9,
0,M8350/3,无包膜硬化性（腺）癌/瘤C73.9；乳头状癌，弥漫性硬化C73.9,
0,M8360/1,（多发性）内分泌腺瘤（病）,
0,M8361/0,球旁细胞性瘤C64.9；近肾小球体瘤C64.9；肾素瘤C64.9,
0,M8370/0,肾上腺皮质（腺）瘤，良性/NOS C74.0,
0,M8370/3,肾上腺皮质（腺）癌C74.0,
0,M8371/0,肾上腺皮质腺瘤，致密细胞C74.0,
0,M8372/0,肾上腺皮质腺瘤，色素性C74.0；黑腺瘤C74.0；色素性腺瘤C74.0,
0,M8373/0,肾上腺皮质腺瘤，透明细胞C74.0,
0,M8374/0,肾上腺皮质腺瘤，肾小球细胞C74.0,
0,M8375/0,肾上腺皮质腺瘤，混合细胞C74.0,
0,M8380/0,子宫内膜样（囊）腺瘤NOS,
0,M8380/1,"子宫内膜样（囊）腺瘤，交界恶性
子宫内膜样瘤，潜在低度恶性/不典型增生性",
2,M8380/2,"子宫内膜样上皮内瘤变C54.1 D07.0
子宫内膜的不典型增生C54.1 D07.0",
0,M8380/3,子宫内膜样（囊）（腺）癌NOS,
0,M8381/0,子宫内膜样（囊）腺纤维瘤NOS,
0,M8381/1,子宫内膜样（囊）腺纤维瘤，交界恶性,
0,M8381/3,子宫内膜样（囊）腺纤维瘤，恶性,
0,M8382/3,子宫内膜样腺癌，分泌变异性,
0,M8383/3,子宫内膜样腺癌，纤毛细胞变异性,
0,M8384/3,腺癌，宫颈内膜型,
0,M8390/0,皮肤附属器（腺）瘤C44.-；附件瘤，良性C44.-,
0,M8390/3,皮肤附属器（腺）癌C44.-；附件癌C44.-；附件腺癌,
0,M8391/0,滤泡性毛囊周纤维瘤C44.-；纤维毛囊瘤C44.-；毛盘瘤C44.-；梭形细胞为主的毛盘瘤,
0,M8392/0,汗管纤维腺瘤C44.-,
1,M839-842,附件和皮肤附属器肿瘤,
0,M8400/0,汗腺/管（腺）瘤，良性/NOS C44.-,
0,M8400/1,汗腺瘤NOS C44.-,
0,M8400/3,汗腺（腺）癌C44.-,
0,M8401/0,顶泌腺（囊）腺瘤；大汗腺瘤,
0,M8401/3,顶泌腺腺癌；大汗腺癌,
0,M8402/0,"结节性透明细胞汗腺腺瘤C44.-
小汗腺（外分泌性）顶端螺旋瘤C44.-",
0,M8402/3,（结节性）汗腺腺癌C44.-,
0,M8403/0,小汗腺（外分泌性）腺瘤C44.-；汗腺腺瘤NOS C44.-,
0,M8403/3,"恶性小汗腺（外分泌性）腺瘤C44.-
原发性顶端螺旋腺瘤（病）引起的恶性肿瘤
原发性顶端圆柱瘤引起的恶性肿瘤",
0,M8404/0,汗腺囊瘤C44.-；外分泌性囊腺瘤C44.-,
0,M8405/0,乳头状汗腺腺瘤C44.-,
0,M8406/0,乳头状汗腺管（囊）腺瘤C44.-；乳头状涎腺腺瘤,
2,M8406/3,乳头状汗腺管囊腺癌C44.-,
0,M8407/0,汗管腺瘤NOS C44.-；乳头的（渗透性）汗管（瘤样）（腺）瘤C50.0,
0,M8407/3,硬化性汗腺导管癌C44.-；汗管样癌C44.-；微小囊性附件癌C44.-,
0,M8408/0,小汗腺乳头状腺瘤C44.-,
3,M8408/1,侵袭性指[趾]乳头状腺瘤C44.-,M8408/3
0,M8408/3,"外分泌性乳头状腺癌C44.-；指[趾]乳头状腺癌C44.-
侵袭性指[趾]乳头状腺瘤C44.-",
0,M8409/0,（小汗腺）汗孔瘤C44.-；大汗腺汗孔瘤,
2,M8409/2,原位汗孔癌C44.- D04.-,
0,M8409/3,（小汗腺）汗孔癌C44.-,
0,M8410/0,皮脂腺腺瘤C44.-；皮脂腺上皮瘤C44.-,
0,M8410/3,皮脂腺（腺）癌C44.-,
0,M8413/3,外分泌性腺癌C44.-,
0,M8420/0,耵聍腺瘤C44.2,
0,M8420/3,耵聍（腺）癌C44.2,
1,M843,粘液表皮样肿瘤,
0,M8430/1,粘液表皮样瘤[观察],
0,M8430/3,粘液表皮样癌,
0,M8440/0,囊（腺）瘤NOS,
0,M8440/3,囊腺癌NOS,
0,M8441/0,浆液性（微）囊（腺）瘤NOS,
0,M8441/2,"浆液性上皮内癌
浆液性输卵管上皮内癌(STIC) C57.0 D07.3
浆液性子宫内膜上皮内癌C54.1 D07.0",
0,M8441/3,浆液性囊腺癌NOS C56.9；浆液性（乳头状）（腺）癌NOS,
