topo,b3,b6,b2,b0,b1,b11,m3,m2,mes3,kap3
C13.0,C13.0,C79.8,D00.0,D10.7,D37.0,D37.0,C13.0,D00.0,C45.7,C46.7
C13.1,C13.1,C79.8,D00.0,D10.7,D37.0,D37.0,C13.1,D00.0,C45.7,C46.7
C13.2,C13.2,C79.8,D00.0,D10.7,D37.0,D37.0,C13.2,D00.0,C45.7,C46.7
C13.8,C13.8,C79.8,D00.0,D10.7,D37.0,D37.0,C13.8,D00.0,C45.7,C46.7
C13.9,C13.9,C79.8,D00.0,D10.7,D37.0,D37.0,C13.9,D00.0,C45.7,C46.7
C14.0,C14.0,C79.8,D00.0,D10.9,D37.0,D37.0,C14.0,D00.0,C45.7,C46.7
C14.2,C14.2,C79.8,D00.0,D10.9,D37.0,D37.0,C14.2,D00.0,C45.7,C46.7
C14.8,C14.8,C79.8,D00.0,D13.0,D37.0,D37.0,C14.8,D00.0,C45.7,C46.7
C15.0,C15.0,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.1,C15.1,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.2,C15.2,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.3,C15.3,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.4,C15.4,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.5,C15.5,C78.8,D00.1,D13.0,D37.7,D37.7,C15.3,D00.1,C45.7,C46.7
C15.8,C15.8,C78.8,D00.1,D13.0,D37.7,D37.7,C15.8,D00.1,C45.7,C46.7
C15.9,C15.9,C78.8,D00.1,D13.0,D37.7,D37.7,C15.9,D00.1,C45.7,C46.7
C16.0,C16.0,C78.8,D00.2,D13.1,D37.1,D37.1,C16.0,D00.2,C45.7,C46.7
C16.1,C16.1,C78.8,D00.2,D13.1,D37.1,D37.1,C16.1,D00.2,C45.7,C46.7
C16.2,C16.2,C78.8,D00.2,D13.1,D37.1,D37.1,C16.2,D00.2,C45.7,C46.7
C16.3,C16.3,C78.8,D00.2,D13.1,D37.1,D37.1,C16.3,D00.2,C45.7,C46.7
C16.4,C16.4,C78.8,D00.2,D13.1,D37.1,D37.1,C16.4,D00.2,C45.7,C46.7
C16.5,C16.5,C78.8,D00.2,D13.1,D37.1,D37.1,C16.5,D00.2,C45.7,C46.7
C16.6,C16.6,C78.8,D00.2,D13.1,D37.1,D37.1,C16.6,D00.2,C45.7,C46.7
C16.8,C16.8,C78.8,D00.2,D13.1,D37.1,D37.1,C16.8,D00.2,C45.7,C46.7
C16.9,C16.9,C78.8,D00.2,D13.1,D37.1,D37.1,C16.9,D00.2,C45.7,C46.7
C17.0,C17.0,C78.4,D01.4,D13.2,D37.2,D37.2,C17.0,D01.4,C45.7,C46.7
C17.1,C17.1,C78.4,D01.4,D13.3,D37.2,D37.2,C17.1,D01.4,C45.7,C46.7
C17.2,C17.2,C78.4,D01.4,D13.3,D37.2,D37.2,C17.2,D01.4,C45.7,C46.7
C17.3,C17.3,C78.4,D01.4,D13.3,D37.2,D37.2,C17.3,D01.4,C45.7,C46.7
C17.8,C17.8,C78.4,D01.4,D13.3,D37.2,D37.2,C17.8,D01.4,C45.7,C46.7
C17.9,C17.9,C78.4,D01.4,D13.3,D37.2,D37.2,C17.9,D01.4,C45.7,C46.7
C18.0,C18.0,C78.5,D01.0,D12.0,D37.4,D37.4,C18.0,D01.0,C45.7,C46.7
C18.1,C18.1,C78.5,D01.0,D12.1,D37.3,D37.3,C18.1,D01.0,C45.7,C46.7
C18.2,C18.2,C78.5,D01.0,D12.2,D37.4,D37.4,C18.2,D01.0,C45.7,C46.7
C18.3,C18.3,C78.5,D01.0,D12.3,D37.4,D37.4,C18.3,D01.0,C45.7,C46.7
C18.4,C18.4,C78.5,D01.0,D12.3,D37.4,D37.4,C18.4,D01.0,C45.7,C46.7
C18.5,C18.5,C78.5,D01.0,D12.3,D37.4,D37.4,C18.5,D01.0,C45.7,C46.7
C18.6,C18.6,C78.5,D01.0,D12.4,D37.4,D37.4,C18.6,D01.0,C45.7,C46.7
C18.7,C18.7,C78.5,D01.0,D12.5,D37.4,D37.4,C18.7,D01.0,C45.7,C46.7
C18.8,C18.8,C78.5,D01.0,D12.6,D37.4,D37.4,C18.8,D01.0,C45.7,C46.7
C18.9,C18.9,C78.5,D01.0,D12.6,D37.4,D37.4,C18.9,D01.0,C45.7,C46.7
C19.9,C19,C78.5,D01.1,D12.7,D37.5,D37.5,C19,D01.1,C45.7,C46.7
C20.9,C20,C78.5,D01.2,D12.8,D37.5,D37.5,C20,D01.2,C45.7,C46.7
C21.0,C21.0,C78.5,D01.3,D12.9,D37.7,D37.7,C21.0,D01.3,C45.7,C46.7
C21.1,C21.1,C78.5,D01.3,D12.9,D37.7,D37.7,C21.1,D01.3,C45.7,C46.7
C21.2,C21.2,C78.5,D01.3,D12.9,D37.7,D37.7,C21.2,D01.3,C45.7,C46.7
C21.8,C21.8,C78.5,D01.3,D12.9,D37.7,D37.7,C21.8,D01.3,C45.7,C46.7
C22.0,C22.0,C78.7,D01.5,D13.4,D37.6,D37.6,C22.0,D01.5,C45.7,C46.7
C22.1,C22.1,C78.8,D01.5,D13.4,D37.6,D37.6,C22.1,D01.5,C45.7,C46.7
C23.9,C23,C78.8,D01.5,D13.5,D37.6,D37.6,C23,D01.5,C45.7,C46.7
C24.0,C24.0,C78.8,D01.5,D13.5,D37.6,D37.6,C24.0,D01.5,C45.7,C46.7
C24.1,C24.1,C78.8,D01.5,D13.5,D37.6,D37.6,C24.1,D01.5,C45.7,C46.7
C24.8,C24.8,C78.8,D01.5,D13.5,D37.6,D37.6,C24.8,D01.5,C45.7,C46.7
C24.9,C24.9,C78.8,D01.5,D13.5,D37.6,D37.6,C24.9,D01.5,C45.7,C46.7
C25.0,C25.0,C78.8,D01.7,D13.6,D37.7,D37.7,C25.0,D01.7,C45.7,C46.7
C25.1,C25.1,C78.8,D01.7,D13.6,D37.7,D37.7,C25.1,D01.7,C45.7,C46.7
C25.2,C25.2,C78.8,D01.7,D13.6,D37.7,D37.7,C25.2,D01.7,C45.7,C46.7
C25.3,C25.3,C78.8,D01.7,D13.6,D37.7,D37.7,C25.3,D01.7,C45.7,C46.7
C25.4,C25.4,C78.8,D01.7,D13.7,D37.7,D37.7,C25.4,D01.7,C45.7,C46.7
C25.7,C25.7,C78.8,D01.7,D13.6,D37.7,D37.7,C25.7,D01.7,C45.7,C46.7
C25.8,C25.8,C78.8,D01.7,D13.6,D37.7,D37.7,C25.8,D01.7,C45.7,C46.7
C25.9,C25.9,C78.8,D01.7,D13.6,D37.7,D37.7,C25.9,D01.7,C45.7,C46.7
C26.0,C26.0,C78.5,D01.4,D13.9,D37.7,D37.7,C26.0,D01.4,C45.7,C46.7
C26.8,C26.8,C78.8,D01.9,D13.9,D37.7,D37.7,C26.9,D01.9,C45.7,C46.7
C26.9,C26.9,C78.8,D01.9,D13.9,D37.9,D37.9,C26.9,D01.9,C45.7,C46.7
C30.0,C30.0,C78.3,D02.3,D14.0,D38.5,D38.5,C30.0,D02.3,C45.7,C46.7
C30.1,C30.1,C78.3,D02.3,D14.0,D38.5,D38.5,C30.1,D02.3,C45.7,C46.7
C31.0,C31.0,C78.3,D02.3,D14.0,D38.5,D38.5,C31.0,D02.3,C45.7,C46.7
C31.1,C31.1,C78.3,D02.3,D14.0,D38.5,D38.5,C31.1,D02.3,C45.7,C46.7
C31.2,C31.2,C78.3,D02.3,D14.0,D38.5,D38.5,C31.2,D02.3,C45.7,C46.7
C31.3,C31.3,C78.3,D02.3,D14.0,D38.5,D38.5,C31.3,D02.3,C45.7,C46.7
C31.8,C31.8,C78.3,D02.3,D14.0,D38.5,D38.5,C31.8,D02.3,C45.7,C46.7
C31.9,C31.9,C78.3,D02.3,D14.0,D38.5,D38.5,C31.9,D02.3,C45.7,C46.7
C32.0,C32.0,C78.3,D02.0,D14.1,D38.0,D38.0,C32.0,D02.0,C45.7,C46.7
C32.1,C32.1,C78.3,D02.0,D14.1,D38.0,D38.0,C32.1,D02.0,C45.7,C46.7
C32.2,C32.2,C78.3,D02.0,D14.1,D38.0,D38.0,C32.2,D02.0,C45.7,C46.7
C32.3,C32.3,C78.3,D02.0,D14.1,D38.0,D38.0,C32.3,D02.0,C45.7,C46.7
C32.8,C32.8,C78.3,D02.0,D14.1,D38.0,D38.0,C32.8,D02.0,C45.7,C46.7
C32.9,C32.9,C78.3,D02.0,D14.1,D38.0,D38.0,C32.9,D02.0,C45.7,C46.7
C33.9,C33,C78.3,D02.1,D14.2,D38.1,D38.1,C33,D02.1,C45.7,C46.7
C34.0,C34.0,C78.0,D02.2,D14.3,D38.1,D38.1,C34.0,D02.2,C45.7,C46.7
C34.1,C34.1,C78.0,D02.2,D14.3,D38.1,D38.1,C34.1,D02.2,C45.7,C46.7
C34.2,C34.2,C78.0,D02.2,D14.3,D38.1,D38.1,C34.2,D02.2,C45.7,C46.7
C34.3,C34.3,C78.0,D02.2,D14.3,D38.1,D38.1,C34.3,D02.2,C45.7,C46.7
C34.8,C34.8,C78.0,D02.2,D14.3,D38.1,D38.1,C34.8,D02.2,C45.7,C46.7
C34.9,C34.9,C78.0,D02.2,D14.3,D38.1,D38.1,C34.9,D02.2,C45.7,C46.7
C37.9,C37,C79.8,D09.3,D15.0,D38.4,D38.4,C37,D09.3,C45.7,C46.7
C38.0,C38.0,C79.8,*,D15.1,D38.4,D38.4,C38.0,*,C45.2,C46.7
C38.1,C38.1,C78.1,*,D15.2,D38.3,D38.3,C38.1,*,C45.2,C46.7
C38.2,C38.2,C78.1,*,D15.2,D38.3,D38.3,C38.2,*,C45.2,C46.7
C38.3,C38.3,C78.1,*,D15.2,D38.3,D38.3,C38.3,*,C45.2,C46.7
C38.4,C38.4,C78.2,*,D15.7,D38.2,D38.2,C38.4,*,C45.0,C46.7
C38.8,C38.8,C79.8,*,D19.0,D38.2,D38.2,C38.8,*,C45.2,C46.7
C39.0,C39.0,C78.3,D02.4,D14.4,D38.6,D38.6,C39.0,D02.4,C45.7,C46.7
C39.8,C39.8,C78.3,D02.4,D14.4,D38.6,D38.6,C39.9,D02.4,C45.7,C46.7
C39.9,C39.9,C78.3,D02.4,D14.4,D38.6,D38.6,C39.9,D02.4,C45.7,C46.7
C40.0,C40.0,C79.5,*,D16.0,D48.0,D48.0,C40.0,*,C45.7,C46.7
C40.1,C40.1,C79.5,*,D16.1,D48.0,D48.0,C40.1,*,C45.7,C46.7
C40.2,C40.2,C79.5,*,D16.2,D48.0,D48.0,C40.2,*,C45.7,C46.7
C40.3,C40.3,C79.5,*,D16.3,D48.0,D48.0,C40.3,*,C45.7,C46.7
C40.8,C40.8,C79.5,*,D16.9,D48.0,D48.0,C40.8,*,C45.7,C46.7
C40.9,C40.9,C79.5,*,D16.9,D48.0,D48.0,C40.9,*,C45.7,C46.7
C41.0,C41.0,C79.5,*,D16.4,D48.0,D48.0,C41.0,*,C45.7,C46.7
C41.1,C41.1,C79.5,*,D16.5,D48.0,D48.0,C41.1,*,C45.7,C46.7
C41.2,C41.2,C79.5,*,D16.6,D48.0,D48.0,C41.2,*,C45.7,C46.7
C41.3,C41.3,C79.5,*,D16.7,D48.0,D48.0,C41.3,*,C45.7,C46.7
C41.4,C41.4,C79.5,*,D16.8,D48.0,D48.0,C41.4,*,C45.7,C46.7
C41.8,C41.8,C79.5,*,D16.9,D48.0,D48.0,C41.8,*,C45.7,C46.7
C41.9,C41.9,C79.5,*,D16.9,D48.0,D48.0,C41.9,*,C45.7,C46.7
C42.0,#,*,*,*,*,*,#,*,C45.7,C46.7
C42.1,#,*,*,*,*,*,#,*,C45.7,C46.7
C42.2,C26.1,C78.8,D01.7,D13.9,D37.8,D37.8,C26.1,D01.7,C45.7,C46.7
C42.3,#,*,*,*,*,*,#,*,C45.7,C46.7
C42.4,#,*,*,*,*,*,#,*,C45.7,C46.7
C44.0,C44.0,C79.2,D04.0,D23.0,D48.5,D48.5,C43.0,D03.0,C45.7,C46.0
C44.1,C44.1,C79.2,D04.1,D23.1,D48.5,D48.5,C43.1,D03.1,C45.7,C46.0
C44.2,C44.2,C79.2,D04.2,D23.2,D48.5,D48.5,C43.2,D03.2,C45.7,C46.0
C44.3,C44.3,C79.2,D04.3,D23.3,D48.5,D48.5,C43.3,D03.3,C45.7,C46.0
C44.4,C44.4,C79.2,D04.4,D23.4,D48.5,D48.5,C43.4,D03.4,C45.7,C46.0
C44.5,C44.5,C79.2,D04.5,D23.5,D48.5,D48.5,C43.5,D03.5,C45.7,C46.0
C44.6,C44.6,C79.2,D04.6,D23.6,D48.5,D48.5,C43.6,D03.6,C45.7,C46.0
C44.7,C44.7,C79.2,D04.7,D23.7,D48.5,D48.5,C43.7,D03.7,C45.7,C46.0
C44.8,C44.8,C79.2,D04.9,D23.9,D48.5,D48.5,C43.8,D03.8,C45.7,C46.0
C44.9,C44.9,C79.2,D04.9,D23.9,D48.5,D48.5,C43.9,D03.9,C45.7,C46.0
C47.0,C47.0,C79.8,*,D36.1,D48.2,D48.2,C47.0,*,C45.7,C46.1
C47.1,C47.1,C79.8,*,D36.1,D48.2,D48.2,C47.1,*,C45.7,C46.1
C47.2,C47.2,C79.8,*,D36.1,D48.2,D48.2,C47.2,*,C45.7,C46.1
C47.3,C47.3,C79.8,*,D36.1,D48.2,D48.2,C47.3,*,C45.7,C46.1
C47.4,C47.4,C79.8,*,D36.1,D48.2,D48.2,C47.4,*,C45.7,C46.1
C47.5,C47.5,C79.8,*,D36.1,D48.2,D48.2,C47.5,*,C45.7,C46.1
C47.6,C47.6,C79.8,*,D36.1,D48.2,D48.2,C47.6,*,C45.7,C46.1
C47.8,C47.8,C79.8,*,D36.1,D48.2,D48.2,C47.8,*,C45.7,C46.1
C47.9,C47.9,C79.8,*,D36.1,D48.2,D48.2,C47.9,*,C45.7,C46.1
C48.0,C48.0,C78.6,*,D20.0,D48.3,D48.3,C48.0,*,C45.1,C46.1
C48.1,C48.1,C78.6,*,D20.1,D48.4,D48.4,C48.1,*,C45.1,C46.1
C48.2,C48.2,C78.6,*,D20.1,D48.4,D48.4,C48.2,*,C45.1,C46.1
C48.8,C48.8,C79.8,*,D21.0,D48.1,D48.1,C48.8,*,C45.1,C46.1
C49.0,C49.0,C79.8,*,D21.0,D48.1,D48.1,C49.0,*,C45.7,C46.1
C49.1,C49.1,C79.8,*,D21.1,D48.1,D48.1,C49.1,*,C45.7,C46.1
C49.2,C49.2,C79.8,*,D21.2,D48.1,D48.1,C49.2,*,C45.7,C46.1
C49.3,C49.3,C79.8,*,D21.3,D48.1,D48.1,C49.3,*,C45.7,C46.1
C49.4,C49.4,C79.8,*,D21.4,D48.1,D48.1,C49.4,*,C45.7,C46.1
C49.5,C49.5,C79.8,*,D21.5,D48.1,D48.1,C49.5,*,C45.7,C46.1
C49.6,C49.6,C79.8,*,D21.6,D48.1,D48.1,C49.6,*,C45.7,C46.1
C49.8,C49.8,C79.8,*,D21.9,D48.1,D48.1,C49.8,*,C45.7,C46.1
C49.9,C49.9,C79.8,*,D21.9,D48.1,D48.1,C49.9,*,C45.7,C46.1
C50.0,C50.0,C79.8,D05.9,D24,D48.6,D48.6,C50.0,D05.9,C45.7,C46.7
C50.1,C50.1,C79.8,D05.9,D24,D48.6,D48.6,C50.1,D05.9,C45.7,C46.7
C50.2,C50.2,C79.8,D05.9,D24,D48.6,D48.6,C50.2,D05.9,C45.7,C46.7
C50.3,C50.3,C79.8,D05.9,D24,D48.6,D48.6,C50.3,D05.9,C45.7,C46.7
C50.4,C50.4,C79.8,D05.9,D24,D48.6,D48.6,C50.4,D05.9,C45.7,C46.7
C50.5,C50.5,C79.8,D05.9,D24,D48.6,D48.6,C50.5,D05.9,C45.7,C46.7
C50.6,C50.6,C79.8,D05.9,D24,D48.6,D48.6,C50.6,D05.9,C45.7,C46.7
C50.8,C50.8,C79.8,D05.9,D24,D48.6,D48.6,C50.8,D05.9,C45.7,C46.7
C50.9,C50.9,C79.8,D05.9,D24,D48.6,D48.6,C50.9,D05.9,C45.7,C46.7
C51.0,C51.0,C79.8,D07.1,D28.0,D39.7,D39.7,C51.0,D07.1,C45.7,C46.7
C51.1,C51.1,C79.8,D07.1,D28.0,D39.7,D39.7,C51.1,D07.1,C45.7,C46.7
C51.2,C51.2,C79.8,D07.1,D28.0,D39.7,D39.7,C51.2,D07.1,C45.7,C46.7
C51.8,C51.8,C79.8,D07.1,D28.0,D39.7,D39.7,C51.8,D07.1,C45.7,C46.7
C51.9,C51.9,C79.8,D07.1,D28.0,D39.7,D39.7,C51.9,D07.1,C45.7,C46.7
C52.9,C52,C79.8,D07.2,D28.1,D39.7,D39.7,C52,D07.2,C45.7,C46.7
C53.0,C53.0,C79.8,D06.0,D26.0,D39.0,D39.0,C53.0,D06.0,C45.7,C46.7
C53.1,C53.1,C79.8,D06.1,D26.0,D39.0,D39.0,C53.1,D06.1,C45.7,C46.7
C53.8,C53.8,C79.8,D06.7,D26.0,D39.0,D39.0,C53.8,D06.7,C45.7,C46.7
C53.9,C53.9,C79.8,D06.9,D26.0,D39.0,D39.0,C53.9,D06.9,C45.7,C46.7
C54.0,C54.0,C79.8,D07.3,D26.1,D39.0,D39.0,C54.0,D07.3,C45.7,C46.7
C54.1,C54.1,C79.8,D07.0,D26.1,D39.0,D39.0,C54.1,D07.0,C45.7,C46.7
C54.2,C54.2,C79.8,D07.3,D26.1,D39.0,D39.0,C54.2,D07.3,C45.7,C46.7
C54.3,C54.3,C79.8,D07.3,D26.1,D39.0,D39.0,C54.3,D07.3,C45.7,C46.7
C54.8,C54.8,C79.8,D07.3,D26.1,D39.0,D39.0,C54.8,D07.3,C45.7,C46.7
C54.9,C54.9,C79.8,D07.3,D26.1,D39.0,D39.0,C54.9,D07.3,C45.7,C46.7
C55.9,C55,C79.8,D07.3,D26.9,D39.0,D39.0,C55,D07.3,C45.7,C46.7
C56.9,C56,C79.6,D07.3,D27,D39.1,D39.1,C56,D07.3,C45.7,C46.7
C57.0,C57.0,C79.8,D07.3,D28.2,D39.7,D39.7,C57.0,D07.3,C45.7,C46.7
C57.1,C57.1,C79.8,D07.3,D28.2,D39.7,D39.7,C57.1,D07.3,C45.7,C46.7
C57.2,C57.2,C79.8,D07.3,D28.2,D39.7,D39.7,C57.2,D07.3,C45.7,C46.7
C57.3,C57.3,C79.8,D07.3,D28.2,D39.7,D39.7,C57.3,D07.3,C45.7,C46.7
C57.4,C57.4,C79.8,D07.3,D28.7,D39.7,D39.7,C57.4,D07.3,C45.7,C46.7
C57.7,C57.7,C79.8,D07.3,D28.7,D39.7,D39.7,C57.7,D07.3,C45.7,C46.7
C57.8,C57.8,C79.8,D07.3,D28.7,D39.7,D39.7,C57.8,D07.3,C45.7,C46.7
C57.9,C57.9,C79.8,D07.3,D28.9,D39.9,D39.9,C57.9,D07.3,C45.7,C46.7
C58.9,C58,C79.8,D07.3,D26.7,D39.2,D39.2,C58,D07.3,C45.7,C46.7
C60.0,C60.0,C79.8,D07.4,D29.0,D40.7,D40.7,C60.0,D07.4,C45.7,C46.7
C60.1,C60.1,C79.8,D07.4,D29.0,D40.7,D40.7,C60.1,D07.4,C45.7,C46.7
C60.2,C60.2,C79.8,D07.4,D29.0,D40.7,D40.7,C60.2,D07.4,C45.7,C46.7
C60.8,C60.8,C79.8,D07.4,D29.0,D40.7,D40.7,C60.8,D07.4,C45.7,C46.7
C60.9,C60.9,C79.8,D07.4,D29.0,D40.7,D40.7,C60.9,D07.4,C45.7,C46.7
C61.9,C61,C79.8,D07.5,D29.1,D40.0,D40.0,C61,D07.5,C45.7,C46.7
C62.0,C62.0,C79.8,D07.6,D29.2,D40.1,D40.1,C62.0,D07.6,C45.7,C46.7
C62.1,C62.1,C79.8,D07.6,D29.2,D40.1,D40.1,C62.1,D07.6,C45.7,C46.7
C62.9,C62.9,C79.8,D07.6,D29.2,D40.1,D40.1,C62.9,D07.6,C45.7,C46.7
C63.0,C63.0,C79.8,D07.6,D29.3,D40.7,D40.7,C63.0,D07.6,C45.7,C46.7
C63.1,C63.1,C79.8,D07.6,D29.7,D40.7,D40.7,C63.1,D07.6,C45.7,C46.7
C63.2,C63.2,C79.8,D07.6,D29.4,D40.7,D40.7,C63.2,D07.6,C45.7,C46.7
C63.7,C63.7,C79.8,D07.6,D29.7,D40.7,D40.7,C63.7,D07.6,C45.7,C46.7
C63.8,C63.8,C79.8,D07.6,D29.9,D40.9,D40.9,C63.8,D07.6,C45.7,C46.7
C63.9,C63.9,C79.8,D07.6,D29.9,D40.9,D40.9,C63.9,D07.6,C45.7,C46.7
C64.9,C64,C79.0,D09.1,D30.0,D41.0,D41.0,C64,D09.1,C45.7,C46.7
C65.9,C65,C79.0,D09.1,D30.1,D41.1,D41.1,C65,D09.1,C45.7,C46.7
C66.9,C66,C79.1,D09.1,D30.2,D41.2,D41.2,C66,D09.1,C45.7,C46.7
C67.0,C67.0,C79.1,D09.0,D30.3,D41.4,D41.4,C67.0,D09.0,C45.7,C46.7
C67.1,C67.1,C79.1,D09.0,D30.3,D41.4,D41.4,C67.1,D09.0,C45.7,C46.7
C67.2,C67.2,C79.1,D09.0,D30.3,D41.4,D41.4,C67.2,D09.0,C45.7,C46.7
C67.3,C67.3,C79.1,D09.0,D30.3,D41.4,D41.4,C67.3,D09.0,C45.7,C46.7
