morp,morp_desen,behaviour,o3site,icd10,comments
8020/2/1,"Carcinoma, undifferentiated, NOS, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8020/3/1,"Carcinoma, undifferentiated, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8021/3/1,"Carcinoma, anaplastic, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8022/2/1,Pleomorphic carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8022/3/1,Pleomorphic carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8023/3/1,Nuclear protein in testis (NUT) associated carcinoma (ICD-O-3.2 update),Malignant,Specific Sites,See Topo Table B Col B,
8030/2/1,Spindle cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8030/3/1,Giant cell and spindle cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8031/3/1,Giant cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8032/2/1,Spindle cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8032/3/1,"Spindle cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8033/2/1,"Pseudosarcomatous carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8033/3/1,Pseudosarcomatous carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8034/3/1,Polygonal cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8035/3/1,Carcinoma with osteoclast-like giant cells,Malignant,Specific Sites,See Topo Table B Col B,
8040/1/1,"Tumorlet, NOS",Borderline,Specific Sites,See Topo Table B Col F,
8040/3/1,"Tumorlet, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8041/2/1,"Small cell carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8041/3/1,"Small cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8042/3/1,Oat cell carcinoma  (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8043/3/1,"Small cell carcinoma, fusiform cell (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8044/3/1,"Small cell carcinoma, intermediate cell (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8045/2/1,"Combined small cell carcinoma, in situ (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8045/3/1,Combined small cell carcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8046/2/1,Non-small cell carcinoma in situ  (C34_),In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8046/3/1,Non-small cell carcinoma  (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8050/1/1,Papilloma of uncertain malignant potential,Borderline,Specific Sites,See Topo Table B Col F,Not listed in ICD-O-3.2
8050/2/1,Papillary carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,
8050/3/1,"Papillary carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8051/2/1,Verrucous carcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8051/3/1,"Verrucous carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8052/2/1,"Papillary squamous cell carcinoma, non-invasive",In-Situ,Specific sites,See Topo Table B Col D,
8052/3/1,Papillary squamous cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8053/2/1,"Squamous cell papilloma, inverted, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8053/3/1,"Squamous cell papilloma, inverted, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8054/3/1,Warty carcinoma (ICD-O-3.2 update),Malignant,Specific Sites,See Topo Table B Col B,
8060/3/1,"Papillomatosis, NOS, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8070/2/1,"Squamous cell carcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8070/3/1,"Squamous cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8070/6/1,"Squamous cell carcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8071/2/1,Differentiated intraepithelial neoplasia,In-Situ,Specific Sites,See Topo Table B Col D,
8071/3/1,"Squamous cell carcinoma, keratinizing, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8072/2/1,"Squamous cell carcinoma, large cell, nonkeratinizing, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8072/3/1,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8073/2/1,"Squamous cell carcinoma, small cell, nonkeratinizing, in situ",In-Situ,Specific Sites,See Topo Table B Col D,
8073/3/1,"Squamous cell carcinoma, small cell, nonkeratinizing",Malignant,Specific Sites,See Topo Table B Col B,
8074/3/1,"Squamous cell carcinoma, spindle cell",Malignant,Specific Sites,See Topo Table B Col B,
8075/2/1,"Squamous cell carcinoma, adenoid, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8075/3/1,"Squamous cell carcinoma, adenoid",Malignant,Specific Sites,See Topo Table B Col B,
8076/2/1,Squamous cell CIS with questionable stromal invasion (C53_),In-Situ,"C539, All Other Sites","D06.9, See Topo Table B Col D",
8076/3/1,"Squamous cell carcinoma, micro-invasive",Malignant,Specific Sites,See Topo Table B Col B,
8077/2/1,"Squamous intraepithelial neoplasia, high grade",In-Situ,Specific sites,See Topo Table B Col D,
8078/3/1,Squamous cell carcinoma with horn formation,Malignant,Specific Sites,See Topo Table B Col B,
8080/2/1,Queyrat erythroplasia (C60_),In-Situ,"C609, All Other Sites","D07.4, See Topo Table B Col D",
8080/3/1,"Queyrat erythroplasia, malignant (C60_)",Malignant,"C609, All Other Sites","C60.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8081/2/1,Bowen disease (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",
8081/3/1,"Bowen's disease, malignant (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8082/3/1,Lymphoepithelial carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8083/2/1,Basaloid squamous cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8083/3/1,Basaloid squamous cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8084/3/1,"Squamous cell carcinoma, clear cell type",Malignant,Specific Sites,See Topo Table B Col B,
8085/3/1,"Squamous cell carcinoma, HPV-positive (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8086/3/1,"Squamous cell carcinoma, HPV-negative (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8090/1/1,Basal cell tumor (C44_),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8090/2/1,Basal cell carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8090/3/1,"Basal cell carcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8091/2/1,"Multicentric basal cell carcinoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8091/3/1,Superficial basal cell carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8092/3/1,"Infiltrating basal cell carcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8093/3/1,"Basal cell carcinoma, fibroepithelial (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8094/2/1,Basosquamous carcinoma in situ (C44),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8094/3/1,Basosquamous carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8095/3/1,Metatypical carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8097/3/1,"Basal cell carcinoma, nodular (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8098/3/1,Adenoid basal cell carcinoma (C53_),Malignant,"C539, All Other Sites","C539, See Topo Table B Col B",
8100/3/1,Trichoblastic carcinoma (ICD-O-3.2 update) (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8102/3/1,Trichilemmocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8103/1/1,Proliferating trichilemmal cyst (C44_) (ICD-O-3.2 update),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8103/3/1,"Pilar tumor, malignant (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8110/3/1,Pilomatrical carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8120/1/1,"Urothelial papilloma, NOS (C67_) (ICD-O-3.2 update, see code 8210/0)",Borderline,"C679, All Other Sites","D41.4, See Topo Table B Col F",
8120/2/1,Urothelial carcinoma in situ (C67_),In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",
8120/3/1,"Transitional cell carcinoma, NOS (C67_)",Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8121/1/1,"Sinonasal papilloma, inverted, NOS (C300, C31_) (ICD-O-3.2 update, see code 8120/0)",Borderline,"C300, C319, All Other Sites","D38.5, See Topo Table B Col F",
8121/2/1,"Transitional cell carcinoma in situ, inverted, NOS (C300, C31_)",In-Situ,"C300, C319, All Other Sites","D02.3, See Topo Table B Col D",
8121/3/1,"Schneiderian carcinoma (C300, C31_)",Malignant,"C300, C319, All Other Sites","C30.0, C31.9, See Topo Table B Col B",
8122/2/1,"Transitional cell carcinoma, spindle cell, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8122/3/1,"Urothelial carcinoma, sarcomatoid",Malignant,Specific Sites,See Topo Table B Col B,
8123/2/1,"Basaloid carcinoma, in situ (C211)",In-Situ,"C211, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8123/3/1,Basaloid carcinoma (C211),Malignant,"C211, All Other Sites","C21.1, See Topo Table B Col B",
8124/2/1,Cloacogenic carcinoma in situ (C212),In-Situ,"C212, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8124/3/1,Cloacogenic carcinoma (C212),Malignant,"C212, All Other Sites","C21.2, See Topo Table B Col B",
8130/1/1,Papillary urothelial neoplasm of low malignant potential (C67_),Borderline,"C679, All Other Sites","D41.4, See Topo Table B Col F",
8130/2/1,"Papillary urothelial carcinoma, non-invasive (C67_)",In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",
8130/3/1,Papillary transitional cell carcinoma  (C67_),Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8131/2/1,"Urothelial carcinoma in situ, micropapillary (C67_)",In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8131/3/1,"Urothelial carcinoma, micropapillary (C67_)",Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8140/1/1,Atypical adenoma (C34_),Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8140/2/1,"Adenocarcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8140/3/1,"Adenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8140/6/1,"Adenocarcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8141/3/1,Scirrhous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8142/3/1,Linitis plastica (C16_),Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8143/2/1,Superficial spreading adenocarcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8143/3/1,Superficial spreading adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8144/2/1,"Intestinal-type adenoma, high grade (C16_)",In-Situ,"C169, All Other Sites","D00.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8144/3/1,"Adenocarcinoma, intestinal type (C16_)",Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8145/2/1,"Carcinoma in situ, diffuse type (C16_)",In-Situ,"C169, All Other Sites","D00.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8145/3/1,"Carcinoma, diffuse type  (C16_)",Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8146/3/1,Monomorphic adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8147/2/1,"Basal cell adenocarcinoma in situ (C07_, C08_)",In-Situ,"C079, C089, All Other Sites","D00.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8147/3/1,"Basal cell adenocarcinoma (C07_, C08_)",Malignant,"C079, C089, All Other Sites","C07, C08.9, See Topo Table B Col B",
8148/2/1,"Glandular intraepithelial neoplasia, high grade (PIN III) (C619)",In-Situ,"C619, All Other Sites","D07.5, See Topo Table B Col D",
8148/3/1,"Glandular intraepithelial neoplasia, malignant, high grade (PIN III) (C619)",Malignant,"C619, All Other Sites","C61, See Topo Table B, Col B",Not listed in ICD-O-3.2
8149/3/1,Canalicular adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8150/1/1,"Pancreatic endocrine tumor, NOS (C25_) (ICD-O-3.2 update, see code 8150/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8150/3/1,"Pancreatic neuroendocrine tumor, nonfunctioning (C254)  (ICD-O-3 update, previously 8150/0, 8150/1)",Malignant,"C254, All Other Sites","C25.4, See Topo Table B Col B",
8151/3/1,"Insulinoma, malignant (C254) (ICD-O-3.2 update, previously 8151/0)",Malignant,"C254, All Other Sites","C25.4, See Topo Table B Col B",
8152/1/1,"Glucagonoma, NOS (C25_) (ICD-O-3.2 update, see code 8152/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8152/3/1,"Glucagonoma, NOS (C25_) (ICD-O-3 update, previusly 8152/1))",Malignant,"C259, All Other Sites","C25.4, See Topo Table B Col B",
8153/1/1,"Gastrinoma, NOS (C254) (ICD-O-3.2 update, see code 8153/3)",Borderline,"C254, All Other Sites","D37.7, See Topo Table B Col F",
8153/3/1,"Gastrinoma, NOS (C25_) (ICD-O-3 update, previously 8153/1)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8154/3/1,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) (C25_)  (ICD-O-3 updated),Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8155/1/1,"Vipoma, NOS (ICD-O-3.2 update, see code 8155/3)",Borderline,Specific Sites,See Topo Table B Col F,
8155/3/1,"Vipoma, NOS (C25_)  (ICD-O-3 update, previously 8155/1))",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8156/1/1,"Somatostatinoma, NOS (C25_) (ICD-O-3.2 update, see code 8156/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8156/3/1,"Somatostatinoma, NOS (C25_)  (ICD-O-3 update, previously 8156/1)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8158/1/1,"ACTH-producing tumor, borderline (ICD-O-3 update, moved to 8158/3)",Borderline,Specific Sites,See Topo Table B Col F,
8158/3/1,"ACTH-producing tumor (C25_) (ICD-O-3 update, 8158/1 moved to this code)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8160/2/1,"Bile duct adenocarcinoma in situ (C221, C240)",In-Situ,"C221, C240, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8160/3/1,"Cholangiocarcinoma (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8161/3/1,"Bile duct cystadenocarcinoma (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8162/2/1,"Klatskin tumor, in situ (C221, C240)",In-Situ,"C221, C240, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8162/3/1,"Klatskin tumor (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8163/2/1,"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia (C241)",In-Situ,"C241, All Other Sites","D01.5, See Topo Table B Col D",
8163/3/1,Pancreatobiliary-type carcinoma (C241),Malignant,"C241, All Other Sites","C24.1, See Topo Table B Col B",
8170/2/1,Hepatocellular carcinoma in situ (C220),In-Situ,"C220, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8170/3/1,"Hepatocellular carcinoma, NOS (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8171/3/1,"Hepatocellular carcinoma, fibrolamellar (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8172/3/1,"Hepatocellular carcinoma, scirrhous (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8173/3/1,"Hepatocellular carcinoma, spindle cell variant (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8174/3/1,"Hepatocellular carcinoma, clear cell type (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8175/3/1,"Hepatocellular carcinoma, pleomorphic type (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8180/2/1,"Combined hepatocellular carcinoma and cholangiocarcinoma, in situ (C220)",In-Situ,"C220, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8180/3/1,Combined hepatocellular carcinoma and cholangiocarcinoma (C220),Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8190/3/1,Trabecular adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8200/2/1,Adenoid cystic carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8200/3/1,Adenoid cystic carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8201/2/1,Cribriform carcinoma in situ (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8201/3/1,"Cribriform carcinoma, NOS  (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8210/2/1,Adenocarcinoma in situ in adenomatous polyp,In-Situ,Specific Sites,See Topo Table B Col D,
8210/3/1,Adenocarcinoma in adenomatous polyp,Malignant,Specific Sites,See Topo Table B Col B,
8211/2/1,Tubular adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8211/3/1,Tubular adenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8212/2/1,"Flat adenoma, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8212/3/1,"Flat adenoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8213/2/1,"Serrated adenoma, in situ (C18_)",In-Situ,"C189, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8213/3/1,Serrated adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8214/3/1,Parietal cell carcinoma (C16_),Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8215/2/1,"Adenocarcinoma of anal glands, in situ (C211)",In-Situ,"C211, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8215/3/1,Adenocarcinoma of anal glands (C211),Malignant,"C211, All Other Sites","C21.1, See Topo Table B Col B",
8220/2/1,Adenocarcinoma in situ in adenomatous polyposis coli (C18_),In-Situ,"C189, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8220/3/1,Adenocarcinoma in adenomatous polyposis coli (C18_),Malignant,"C189, All Other Sites","C18.9, See Topo Table B Col B",
8221/2/1,Adenocarcinoma in situ in multiple adenomatous polyposis coli,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8221/3/1,Adenocarcinoma in multiple adenomatous polyposis coli,Malignant,Specific Sites,See Topo Table B Col B,
8230/2/1,"Ductal carcinoma in situ, solid type (C50_)",In-Situ,"C509, All Other Sites","D05.9, See Topo Table B Col D",
8230/3/1,"Solid carcinoma, NOS (C50_)",Malignant,"C509, All Other Sites",See Topo Table B Col B,
8231/3/1,Carcinoma simplex,Malignant,Specific Sites,See Topo Table B Col B,
8240/1/1,"Carcinoid tumor of uncertain malignant potential (ICD-O-3 update, see 8241/3)",Borderline,Specific Sites,See Topo Table B Col F,
8240/2/1,"Carcinoid tumor, in situ (C181)",In-Situ,"C181, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8240/3/1,"Neuroendocrine tumor, NOS (ICD-O-3 update, previously 8240/1)",Malignant,Specific Sites,See Topo Table B Col B,
8241/3/1,"Enterochromaffin cell carcinod (ICD-O-3.2, 8240/1 moved to this code)",Malignant,Specific Sites,See Topo Table B Col B,
8242/1/1,"Enterochromaffin-like cell carcinoid, NOS (ICD-O-3.2 update, code moved to 8242/3)",Borderline,Specific Sites,See Topo Table B Col F,
8242/3/1,"Enterochromaffin-like cell tumor, malignant (ICD-O-3 update, previously 8242/1)",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8243/2/1,"Goblet cell carcinoid, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8243/3/1,Goblet cell carcinoid,Malignant,Specific Sites,See Topo Table B Col B,
8244/2/1,"Mixed adenoneuroendocrine carcinoma, in situ (ICD-O-3 update)",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8244/3/1,Mixed adenoneuroendocrine carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8245/1/1,Tubular carcinoid,Borderline,Specific Sites,See Topo Table B Col F,
8245/2/1,"Adenocarcinoid tumor, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8245/3/1,Adenocarcinoid tumor,Malignant,Specific Sites,See Topo Table B Col B,
8246/2/1,Neuroendocrine carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8246/3/1,"Neuroendocrine carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8247/2/1,"Merkel cell carcinoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8247/3/1,Merkel cell carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8248/1/1,Apudoma,Borderline,Specific Sites,See Topo Table B Col F,
8249/3/1,"Neuroendocrine tumor, grade 2",Malignant,Specific Sites,See Topo Table B Col B,
8250/1/1,Pulmonary adenomatosis (C34_),Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8250/2/1,"Adenocarcinoma in situ of the lung, non-mucinous (C34)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",
8250/3/1,Lepidic adenocarcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8251/3/1,Alveolar adenocarcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8252/2/1,"Bronchio-alveolar carcinoma, non-mucinous in situ (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8252/3/1,"Bronchio-alveolar carcinoma, non-mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8253/2/1,"Adenocarcinoma in situ of the lung, mucinous (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",
8253/3/1,"Adenocarcinoma of the lung, mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8254/3/1,"Adenocarcinoma of the lung, mixed mucinous and non-mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8255/2/1,"Adenocarcinoma with mixed subtypes, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8255/3/1,Adenocarcinoma with mixed subtypes,Malignant,Specific Sites,See Topo Table B Col B,
8256/3/1,"Minimally invasive adenocarcinoma, non-mucinous (C34_) (ICD-O-3.2 update)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8257/3/1,"Minimally invasive adenocarcinoma, mucinous (C34_) (ICD-O-3.2 update)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8260/1/1,Aggressive papillary tumor (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,
8260/2/1,"Papillary adenocarcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8260/3/1,"Papillary adenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8261/2/1,Adenocarcinoma in situ in villous adenoma,In-Situ,Specific Sites,See Topo Table B Col D,
8261/3/1,Adenocarcinoma in villous adenoma,Malignant,Specific Sites,See Topo Table B Col B,
