morp,morp-description,behaviour,o3site,icd10,Comments
8120/3,"Transitional cell carcinoma, NOS (C67_)",Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8121/1,"Sinonasal papilloma, inverted, NOS (C300, C31_) (ICD-O-3.2 update, see code 8120/0)",Borderline,"C300, C319, All Other Sites","D38.5, See Topo Table B Col F",
8121/2,"Transitional cell carcinoma in situ, inverted, NOS (C300, C31_)",In-Situ,"C300, C319, All Other Sites","D02.3, See Topo Table B Col D",
8121/3,"Schneiderian carcinoma (C300, C31_)",Malignant,"C300, C319, All Other Sites","C30.0, C31.9, See Topo Table B Col B",
8122/2,"Transitional cell carcinoma, spindle cell, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8122/3,"Urothelial carcinoma, sarcomatoid",Malignant,Specific Sites,See Topo Table B Col B,
8123/2,"Basaloid carcinoma, in situ (C211)",In-Situ,"C211, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8123/3,Basaloid carcinoma (C211),Malignant,"C211, All Other Sites","C21.1, See Topo Table B Col B",
8124/2,Cloacogenic carcinoma in situ (C212),In-Situ,"C212, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8124/3,Cloacogenic carcinoma (C212),Malignant,"C212, All Other Sites","C21.2, See Topo Table B Col B",
8130/1,Papillary urothelial neoplasm of low malignant potential (C67_),Borderline,"C679, All Other Sites","D41.4, See Topo Table B Col F",
8130/2,"Papillary urothelial carcinoma, non-invasive (C67_)",In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",
8130/3,Papillary transitional cell carcinoma  (C67_),Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8131/2,"Urothelial carcinoma in situ, micropapillary (C67_)",In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8131/3,"Urothelial carcinoma, micropapillary (C67_)",Malignant,"C679, All Other Sites","C67.9, See Topo Table B, Col B",
8140/1,Atypical adenoma (C34_),Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8140/2,"Adenocarcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8140/3,"Adenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8140/6,"Adenocarcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8141/3,Scirrhous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8142/3,Linitis plastica (C16_),Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8143/2,Superficial spreading adenocarcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8143/3,Superficial spreading adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8144/2,"Intestinal-type adenoma, high grade (C16_)",In-Situ,"C169, All Other Sites","D00.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8144/3,"Adenocarcinoma, intestinal type (C16_)",Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8145/2,"Carcinoma in situ, diffuse type (C16_)",In-Situ,"C169, All Other Sites","D00.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8145/3,"Carcinoma, diffuse type  (C16_)",Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8146/3,Monomorphic adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8147/2,"Basal cell adenocarcinoma in situ (C07_, C08_)",In-Situ,"C079, C089, All Other Sites","D00.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8147/3,"Basal cell adenocarcinoma (C07_, C08_)",Malignant,"C079, C089, All Other Sites","C07, C08.9, See Topo Table B Col B",
8148/2,"Glandular intraepithelial neoplasia, high grade (PIN III) (C619)",In-Situ,"C619, All Other Sites","D07.5, See Topo Table B Col D",
8148/3,"Glandular intraepithelial neoplasia, malignant, high grade (PIN III) (C619)",Malignant,"C619, All Other Sites","C61, See Topo Table B, Col B",Not listed in ICD-O-3.2
8149/3,Canalicular adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8150/1,"Pancreatic endocrine tumor, NOS (C25_) (ICD-O-3.2 update, see code 8150/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8150/3,"Pancreatic neuroendocrine tumor, nonfunctioning (C254)  (ICD-O-3 update, previously 8150/0, 8150/1)",Malignant,"C254, All Other Sites","C25.4, See Topo Table B Col B",
8151/3,"Insulinoma, malignant (C254) (ICD-O-3.2 update, previously 8151/0)",Malignant,"C254, All Other Sites","C25.4, See Topo Table B Col B",
8152/1,"Glucagonoma, NOS (C25_) (ICD-O-3.2 update, see code 8152/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8152/3,"Glucagonoma, NOS (C25_) (ICD-O-3 update, previusly 8152/1))",Malignant,"C259, All Other Sites","C25.4, See Topo Table B Col B",
8153/1,"Gastrinoma, NOS (C254) (ICD-O-3.2 update, see code 8153/3)",Borderline,"C254, All Other Sites","D37.7, See Topo Table B Col F",
8153/3,"Gastrinoma, NOS (C25_) (ICD-O-3 update, previously 8153/1)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8154/3,Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN) (C25_)  (ICD-O-3 updated),Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8155/1,"Vipoma, NOS (ICD-O-3.2 update, see code 8155/3)",Borderline,Specific Sites,See Topo Table B Col F,
8155/3,"Vipoma, NOS (C25_)  (ICD-O-3 update, previously 8155/1))",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8156/1,"Somatostatinoma, NOS (C25_) (ICD-O-3.2 update, see code 8156/3)",Borderline,"C259, All Other Sites","D37.7, See Topo Table B Col F",
8156/3,"Somatostatinoma, NOS (C25_)  (ICD-O-3 update, previously 8156/1)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8158/1,"ACTH-producing tumor, borderline (ICD-O-3 update, moved to 8158/3)",Borderline,Specific Sites,See Topo Table B Col F,
8158/3,"ACTH-producing tumor (C25_) (ICD-O-3 update, 8158/1 moved to this code)",Malignant,"C259, All Other Sites","C25.9, See Topo Table B Col B",
8160/2,"Bile duct adenocarcinoma in situ (C221, C240)",In-Situ,"C221, C240, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8160/3,"Cholangiocarcinoma (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8161/3,"Bile duct cystadenocarcinoma (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8162/2,"Klatskin tumor, in situ (C221, C240)",In-Situ,"C221, C240, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8162/3,"Klatskin tumor (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",
8163/2,"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia (C241)",In-Situ,"C241, All Other Sites","D01.5, See Topo Table B Col D",
8163/3,Pancreatobiliary-type carcinoma (C241),Malignant,"C241, All Other Sites","C24.1, See Topo Table B Col B",
8170/2,Hepatocellular carcinoma in situ (C220),In-Situ,"C220, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8170/3,"Hepatocellular carcinoma, NOS (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8171/3,"Hepatocellular carcinoma, fibrolamellar (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8172/3,"Hepatocellular carcinoma, scirrhous (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8173/3,"Hepatocellular carcinoma, spindle cell variant (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8174/3,"Hepatocellular carcinoma, clear cell type (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8175/3,"Hepatocellular carcinoma, pleomorphic type (C220)",Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8180/2,"Combined hepatocellular carcinoma and cholangiocarcinoma, in situ (C220)",In-Situ,"C220, All Other Sites","D01.5, See Topo Table B Col D",Not listed in ICD-O-3.2
8180/3,Combined hepatocellular carcinoma and cholangiocarcinoma (C220),Malignant,"C220, All Other Sites","C22.0, See Topo Table B Col B",
8190/3,Trabecular adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8200/2,Adenoid cystic carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8200/3,Adenoid cystic carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8201/2,Cribriform carcinoma in situ (C50_),In-Situ,"C509, All Other Sites","D05.8, See Topo Table B Col D",
8201/3,"Cribriform carcinoma, NOS  (C50_)",Malignant,"C509, All Other Sites","C50.9, See Topo Table B Col B",
8210/2,Adenocarcinoma in situ in adenomatous polyp,In-Situ,Specific Sites,See Topo Table B Col D,
8210/3,Adenocarcinoma in adenomatous polyp,Malignant,Specific Sites,See Topo Table B Col B,
8211/2,Tubular adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8211/3,Tubular adenocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8212/2,"Flat adenoma, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8212/3,"Flat adenoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8213/2,"Serrated adenoma, in situ (C18_)",In-Situ,"C189, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8213/3,Serrated adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8214/3,Parietal cell carcinoma (C16_),Malignant,"C169, All Other Sites","C16.9, See Topo Table B Col B",
8215/2,"Adenocarcinoma of anal glands, in situ (C211)",In-Situ,"C211, All Other Sites","D01.3, See Topo Table B Col D",Not listed in ICD-O-3.2
8215/3,Adenocarcinoma of anal glands (C211),Malignant,"C211, All Other Sites","C21.1, See Topo Table B Col B",
8220/2,Adenocarcinoma in situ in adenomatous polyposis coli (C18_),In-Situ,"C189, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8220/3,Adenocarcinoma in adenomatous polyposis coli (C18_),Malignant,"C189, All Other Sites","C18.9, See Topo Table B Col B",
8221/2,Adenocarcinoma in situ in multiple adenomatous polyposis coli,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8221/3,Adenocarcinoma in multiple adenomatous polyposis coli,Malignant,Specific Sites,See Topo Table B Col B,
8230/2,"Ductal carcinoma in situ, solid type (C50_)",In-Situ,"C509, All Other Sites","D05.9, See Topo Table B Col D",
8230/3,"Solid carcinoma, NOS (C50_)",Malignant,"C509, All Other Sites",See Topo Table B Col B,
8231/3,Carcinoma simplex,Malignant,Specific Sites,See Topo Table B Col B,
8240/1,"Carcinoid tumor of uncertain malignant potential (ICD-O-3 update, see 8241/3)",Borderline,Specific Sites,See Topo Table B Col F,
8240/2,"Carcinoid tumor, in situ (C181)",In-Situ,"C181, All Other Sites","D01.0, See Topo Table B Col D",Not listed in ICD-O-3.2
8240/3,"Neuroendocrine tumor, NOS (ICD-O-3 update, previously 8240/1)",Malignant,Specific Sites,See Topo Table B Col B,
8241/3,"Enterochromaffin cell carcinod (ICD-O-3.2, 8240/1 moved to this code)",Malignant,Specific Sites,See Topo Table B Col B,
8242/1,"Enterochromaffin-like cell carcinoid, NOS (ICD-O-3.2 update, code moved to 8242/3)",Borderline,Specific Sites,See Topo Table B Col F,
8242/3,"Enterochromaffin-like cell tumor, malignant (ICD-O-3 update, previously 8242/1)",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8243/2,"Goblet cell carcinoid, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8243/3,Goblet cell carcinoid,Malignant,Specific Sites,See Topo Table B Col B,
8244/2,"Mixed adenoneuroendocrine carcinoma, in situ (ICD-O-3 update)",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8244/3,Mixed adenoneuroendocrine carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8245/1,Tubular carcinoid,Borderline,Specific Sites,See Topo Table B Col F,
8245/2,"Adenocarcinoid tumor, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8245/3,Adenocarcinoid tumor,Malignant,Specific Sites,See Topo Table B Col B,
8246/2,Neuroendocrine carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8246/3,"Neuroendocrine carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8247/2,"Merkel cell carcinoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8247/3,Merkel cell carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8248/1,Apudoma,Borderline,Specific Sites,See Topo Table B Col F,
8249/3,"Neuroendocrine tumor, grade 2",Malignant,Specific Sites,See Topo Table B Col B,
8250/1,Pulmonary adenomatosis (C34_),Borderline,"C349, All Other Sites","D38.1, See Topo Table B Col F",
8250/2,"Adenocarcinoma in situ of the lung, non-mucinous (C34)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",
8250/3,Lepidic adenocarcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8251/3,Alveolar adenocarcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8252/2,"Bronchio-alveolar carcinoma, non-mucinous in situ (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8252/3,"Bronchio-alveolar carcinoma, non-mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8253/2,"Adenocarcinoma in situ of the lung, mucinous (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",
8253/3,"Adenocarcinoma of the lung, mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8254/3,"Adenocarcinoma of the lung, mixed mucinous and non-mucinous (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8255/2,"Adenocarcinoma with mixed subtypes, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8255/3,Adenocarcinoma with mixed subtypes,Malignant,Specific Sites,See Topo Table B Col B,
8256/3,"Minimally invasive adenocarcinoma, non-mucinous (C34_) (ICD-O-3.2 update)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8257/3,"Minimally invasive adenocarcinoma, mucinous (C34_) (ICD-O-3.2 update)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8260/1,Aggressive papillary tumor (ICD-O-3.2 update),Borderline,Specific Sites,See Topo Table B Col F,
8260/2,"Papillary adenocarcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8260/3,"Papillary adenocarcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8261/2,Adenocarcinoma in situ in villous adenoma,In-Situ,Specific Sites,See Topo Table B Col D,
8261/3,Adenocarcinoma in villous adenoma,Malignant,Specific Sites,See Topo Table B Col B,
8262/2,Villous adenocarcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8262/3,Villous adenocarcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8263/2,Adenocarcinoma in situ in tubulovillous adenoma,In-Situ,Specific Sites,See Topo Table B Col D,
8263/3,Adenocarcinoma in tubulovillous adenoma,Malignant,Specific Sites,See Topo Table B Col B,
8264/3,"Papillomatosis, glandular, malignant (C221, C240)",Malignant,"C221, C240, All Other Sites","C22.1, C24.0, See Topo Table B Col B",Not listed in ICD-O-3.2
8265/3,"Micropapillary carcinoma, NOS (C18_)",Malignant,"C189, All Other Sites","C18.9, See Topo Table B Col B",
8270/1,"Chromophobe adenoma, borderline (C751)",Borderline,"C751, All Other Sites","D44.3, See Topo Table B Col F",Not listed in ICD-O-3.2
8270/3,Chromophobe carcinoma (C751),Malignant,"C751, All Other Sites","C75.1, See Topo Table B Col B",
